id,latitude,longitude,name,category
390757439,41.1155576,20.7914836,Лихнид,archaeological_site
1475328742,42.0586697,21.3527926,Rimska crkva,archaeological_site
1475331129,42.0843452,21.3548716,Давина Кула,archaeological_site
1475333181,42.0587494,21.2786993,Голема Кула - Кучково,archaeological_site
1475333182,42.0585741,21.2844339,Мала Кула - Кучково,archaeological_site
1734593430,42.0766913,21.3988480,Gradiste kaj s.Brazda,archaeological_site
1879436069,42.1706665,21.8098380,Костоперска Карпа,archaeological_site
2026975410,41.2775784,22.4937679,Isar / Idomenae,archaeological_site
2373710718,42.0836218,21.9862589,Цоцев Камен,archaeological_site
2829462221,42.0853984,21.9627449,Мачка камен,archaeological_site
4679023257,42.1594768,21.2890417,Lokalitet arkeologjik në Paldenicë,archaeological_site
5722266446,42.1003011,21.9665342,Konjuh,archaeological_site
5725139643,41.7995125,22.2898290,Bargala,archaeological_site
5728312945,41.3825161,22.7542141,Roman Bathhouse,archaeological_site
6418857588,41.0043725,20.9282003,Кале,archaeological_site
6471416045,41.9856377,22.5905605,Калата,archaeological_site
6535106716,41.6952366,21.6281720,Бањичко Кале,archaeological_site
10038199740,40.9081810,20.6461319,Kalaja e Pogradecit,archaeological_site
10292218134,41.0659830,20.6447795,Mozaiku i Linit,archaeological_site
11107939919,41.8117124,21.1617392,Голема Пеш,archaeological_site
